Datetime,Open,High,Low,Close,Adj Close,Volume,price,EMA50,rsi,K,D,atr,pivot_index_high_prev,pivot_index_high_next,Pivot_high,gradient_high,pivot_index_high_rsi_prev,pivot_index_high_rsi_next,Pivot_high_rsi,gradient_high_rsi,pivot_index_low_prev,pivot_index_low_next,Pivot_low,gradient_low,pivot_index_low_rsi_prev,pivot_index_low_rsi_next,Pivot_low_rsi,gradient_low_rsi,regular_bullish_divergence,hidden_bullish_divergence,regular_bearish_divergence,hidden_bearish_divergence
20240304103000,192.0751953125,192.5,190.8800048828125,191.0399932861328,191.0399932861328,8880773,191.4700927734375,199.8272780796327,21.588190848988038,0.0,22.99727130504775,2.0741197826286317,0,0,192.5,0.0,0,0,21.588190848988038,0.0,0,14,,,0,14,,,0,0,1,0
20240304110000,191.4700927734375,191.49169921875,190.1300048828125,190.55999755859375,190.55999755859375,3016931,190.5500030517578,199.46385531410175,20.966032682435646,0.0,7.14886577231231,2.0028772379595186,0,10,,-0.012259743430397728,0,9,,0.5002399682317094,0,14,,,0,14,,,0,0,1,1
20240304113000,190.5500030517578,190.72000122070312,189.25,190.22999572753906,190.22999572753906,7147709,190.21009826660156,199.10174317345223,20.528011512118113,0.0,0.0,1.949589636233879,0,10,,-0.012259743430397728,0,9,,0.5002399682317094,0,14,,,0,14,,,0,0,1,1
20240304120000,190.21009826660156,190.39990234375,188.72999572753906,189.16400146484375,189.16400146484375,5923845,189.15109252929688,198.71202781233032,19.137163688166755,0.0,0.0,1.9216213342315847,0,10,,-0.012259743430397728,0,9,,0.5002399682317094,0,14,,,0,14,,,0,0,1,1
20240304123000,189.15109252929688,189.3800048828125,186.83999633789062,187.75900268554688,187.75900268554688,7978272,187.7550048828125,198.28249741520156,17.458211791014428,0.0,0.0,1.9834600553006136,0,10,,-0.012259743430397728,0,9,,0.5002399682317094,0,14,,,0,14,,,0,0,0,1
20240304130000,187.7550048828125,188.3800048828125,187.30999755859375,187.35000610351562,187.35000610351562,5543365,187.35499572753906,197.85377226572368,16.990901317595657,0.0,0.0,1.8921147821924271,0,10,,-0.012259743430397728,0,9,,0.5002399682317094,0,14,,,0,14,,,0,0,0,1
20240304133000,187.35499572753906,187.7100067138672,186.72000122070312,187.2550048828125,187.2550048828125,4771733,187.24000549316406,197.43813432913893,16.877890992327675,0.0,0.0,1.8019038532895906,0,10,,-0.012259743430397728,0,9,,0.5002399682317094,0,14,,,0,14,,,0,0,0,1
20240304140000,187.24000549316406,187.61000061035156,186.75,187.227294921875,187.227294921875,4443585,187.25,197.03770925434426,16.842702157449143,0.0,0.0,1.7077135289957877,0,10,,-0.012259743430397728,0,9,,0.5002399682317094,0,14,,,0,14,,,0,0,0,1
20240304143000,187.25,189.1488037109375,187.14019775390625,189.03990173339844,189.03990173339844,5547030,189.02000427246094,196.72406974371893,27.492086370175965,8.918909929662671,2.9729699765542237,1.737802771799334,0,10,,-0.012259743430397728,0,9,,0.5002399682317094,0,14,,,0,14,,,0,0,0,1
20240304150000,189.02000427246094,190.11000061035156,188.86099243164062,189.9915008544922,189.9915008544922,6197492,190.00999450683594,196.4600474343375,32.387466753465894,21.93772421415383,10.2855447146055,1.6889233124904943,0,10,,-0.012259743430397728,9,9,32.387466753465894,0.0,0,14,,,0,14,,,0,0,0,0
20240304153000,190.00999450683594,190.13999938964844,188.1300048828125,188.1300048828125,188.1300048828125,42833382,182.0,196.13337909898357,28.35457204763402,32.65607846080222,21.170904201539575,1.7210304319250387,10,10,190.13999938964844,0.0,9,23,,0.02311514699178585,0,14,,,0,14,,,0,0,0,0
20240305093000,182.0,184.58999633789062,181.83999633789062,182.50999450683594,182.50999450683594,23072083,182.5,195.59912872282092,20.183271756937792,30.900501195018443,28.498101289991496,2.1779282432247222,10,19,,-0.04333699943383424,9,23,,0.02311514699178585,0,14,,,0,14,,,0,0,0,1
20240305100000,182.5,184.35000610351562,178.77000427246094,178.897705078125,178.897705078125,17595947,178.8699951171875,194.94417093283283,16.82669229387258,17.881686910527282,27.146088855449317,2.518135602007719,10,19,,-0.04333699943383424,9,23,,0.02311514699178585,0,14,,,0,14,,,0,0,0,1
20240305103000,178.8699951171875,180.0,178.3300018310547,178.82000732421875,178.82000732421875,12217014,178.83999633789062,194.31185079131856,16.76212019200168,7.163332663878892,18.64850692314154,2.433321858701478,10,19,,-0.04333699943383424,9,23,,0.02311514699178585,0,14,,,0,14,,,0,0,0,1
20240305110000,178.83999633789062,179.0500030517578,177.57000732421875,178.22459411621094,178.22459411621094,6647103,178.8800048828125,193.68097798053003,16.247568247738734,0.0,8.348339858135391,2.337989245585237,10,19,,-0.04333699943383424,9,23,,0.02311514699178585,14,14,177.57000732421875,0.0,14,14,16.247568247738734,0.0,0,0,0,1
20240305113000,178.8800048828125,179.17999267578125,178.42999267578125,178.92750549316406,178.92750549316406,2804208,178.93499755859375,193.10241043200588,19.393415170461797,6.497039870080916,4.5534575113199365,2.1997301769837447,10,19,,-0.04333699943383424,9,23,,0.02311514699178585,14,25,,-0.021794279531173574,14,24,,0.544611128922808,1,0,0,1
20240305120000,178.93499755859375,181.2899932861328,178.8699951171875,181.24459838867188,181.24459838867188,4980735,181.25,192.6373981950124,28.87710116534658,32.58050194622372,13.025847272101545,2.2217569761799014,10,19,,-0.04333699943383424,9,23,,0.02311514699178585,14,25,,-0.021794279531173574,14,24,,0.544611128922808,1,0,0,1
20240305123000,181.25,181.77000427246094,180.3699951171875,181.13999938964844,181.13999938964844,4299114,181.1199951171875,192.1865198104883,28.712871338118934,58.32478422068979,32.467442012331475,2.1395821940892548,10,19,,-0.04333699943383424,9,23,,0.02311514699178585,14,25,,-0.021794279531173574,14,24,,0.544611128922808,1,0,0,1
